"id","hasla_3_id","hasla_91_id"
553,538,540
554,539,541
555,540,542
556,541,543
557,542,536
558,543,699
559,544,544
560,545,545
561,546,546
562,547,547
563,548,548
564,549,549
565,550,550
566,551,551
567,552,552
568,553,553
569,554,554
570,555,555
571,556,556
572,557,557
573,558,558
574,559,559
575,560,560
576,561,561
577,562,562
578,563,563
579,564,565
582,565,566
583,566,567
584,567,568
585,568,569
586,569,570
587,570,571
588,571,572
589,572,573
590,573,574
591,574,575
592,575,576
593,576,577
594,577,578
595,578,579
596,579,580
597,580,564
598,581,581
599,582,582
600,583,583
601,584,584
602,585,585
603,586,586
604,587,587
605,588,588
606,589,589
607,590,590
608,591,591
609,592,592
610,593,593
611,594,594
612,595,595
613,596,596
614,597,597
615,598,598
616,599,599
617,600,600
618,601,601
619,602,602
620,,603
621,603,604
622,604,605
623,605,606
624,606,607
625,607,608
626,608,609
627,609,610
629,611,611
630,612,612
631,613,613
632,614,614
633,615,615
634,616,616
635,617,617
636,618,618
637,619,619
638,620,620
639,621,700
640,622,621
641,623,622
642,624,623
643,625,624
644,626,625
645,627,
646,628,626
647,629,627
648,630,628
649,631,629
650,632,630
651,633,631
652,634,632
653,635,633
654,636,634
655,637,635
656,638,636
657,639,637
658,640,638
659,641,639
660,642,640
661,643,641
662,644,642
663,645,643
664,646,644
665,647,645
666,648,646
667,649,647
668,650,648
669,651,649
670,652,650
671,653,651
672,654,652
673,655,653
674,656,654
675,657,655
676,658,656
677,659,657
678,660,658
679,661,659
680,662,660
681,663,661
682,664,662
683,665,663
684,666,664
685,667,665
686,668,666
687,669,667
688,670,668
689,671,669
690,672,670
691,673,671
692,674,672
693,675,673
694,676,674
695,677,675
696,678,676
697,679,677
698,680,678
699,681,679
700,682,701
701,683,702
702,684,
703,685,703
704,947,704
705,686,705
706,687,706
707,688,707
708,689,708
709,690,709
710,691,710
711,692,711
712,693,712
713,694,
714,695,713
715,696,714
716,698,715
717,699,716
718,700,717
719,701,718
720,702,719
721,703,720
722,704,721
723,705,722
724,706,723
725,707,724
726,708,725
727,709,726
728,710,727
729,711,728
730,712,729
731,713,730
732,714,731
733,715,732
734,716,733
735,717,734
736,718,735
737,719,736
738,720,737
739,721,741
740,722,739
741,723,740
742,724,742
743,725,743
744,726,744
745,727,745
746,728,746
747,729,748
764,745,763
765,746,764
749,948,747
750,730,765
748,731,749
751,732,750
752,733,751
753,734,752
754,735,753
755,736,754
756,737,755
757,738,756
758,739,757
759,740,758
760,741,759
761,742,760
762,743,761
763,744,762
766,747,766
767,748,767
768,,768
769,749,769
770,750,770
771,751,771
772,752,772
773,753,773
774,754,774
775,755,775
776,756,776
777,757,
778,758,777
779,759,778
780,760,779
781,761,780
782,762,781
783,763,782
784,764,783
785,765,784
786,766,785
787,767,786
788,768,787
789,769,788
790,770,789
791,771,790
792,772,791
793,773,792
794,774,793
795,775,794
796,776,795
797,777,796
798,778,797
799,779,798
800,780,799
801,781,800
802,782,801
803,783,802
804,784,803
805,785,804
806,786,805
807,787,806
808,788,807
809,789,808
810,790,809
811,791,810
812,792,811
813,793,812
814,794,813
815,795,814
816,796,815
817,797,816
818,798,817
819,799,818
820,800,819
821,802,820
822,803,972
824,805,822
825,806,823
826,807,824
827,808,825
828,809,826
829,810,827
830,811,828
831,812,829
832,813,830
833,814,831
834,815,832
835,816,833
836,817,834
837,818,835
838,819,836
839,820,837
840,821,838
841,822,839
842,823,840
843,824,841
844,825,842
845,826,843
846,827,844
847,828,845
848,829,846
849,830,847
850,831,848
851,832,849
852,833,850
853,834,851
854,835,852
855,836,853
856,837,854
857,838,855
858,839,856
859,840,857
860,841,858
861,842,859
862,843,860
863,844,861
864,845,862
865,846,863
866,847,864
867,848,
868,849,865
869,850,866
870,851,867
871,,868
872,852,869
873,,870
874,853,871
875,854,872
876,855,873
877,856,874
878,857,877
879,858,878
880,859,879
881,860,880
882,861,881
883,862,882
884,863,875
885,864,876
886,865,883
887,866,884
888,867,885
889,868,886
890,869,887
891,870,888
892,871,889
893,872,890
894,873,891
895,874,892
896,875,893
897,876,897
898,877,898
899,878,899
900,879,900
901,880,901
902,881,902
903,882,903
904,883,904
905,884,905
906,885,906
907,886,907
908,887,908
909,888,909
910,889,910
911,890,911
912,891,912
913,892,913
914,893,914
915,894,915
916,895,916
917,896,917
918,897,918
919,898,919
920,899,920
921,900,921
922,901,922
923,902,923
924,903,924
925,904,925
926,905,926
927,906,927
928,907,929
929,908,930
930,909,931
931,910,932
932,911,933
933,912,934
934,913,935
935,914,936
936,915,937
937,916,938
938,917,939
939,918,940
940,919,942
941,920,943
942,921,941
943,922,944
944,923,945
945,924,946
946,925,947
947,926,948
948,927,949
949,928,950
950,929,951
951,930,952
952,931,953
953,932,954
954,933,955
955,934,956
956,935,957
957,936,958
958,937,959
959,938,960
960,939,961
962,941,963
963,942,964
964,943,965
965,944,966
966,945,967
1,1,11
306,302,289
628,610,601
967,954,974
968,955,975
